Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
Хлебцы хрустящие рисовые Dr.Green,270,6,0.5,62
вівсянка Екстра,354,13,6,66
Куриное бедро без кожи на пару,155,21,9,0.31
Банановое молоко Green milk,45,2,1,7
Рулет куринный Нежный,120,18,5,1
Питьевой йогурт малина. семена льна. киноа Био Макс Bio max,74,3,2,11
Рамен корейский Шин рамен Nongshim,424,9,14,66
Свинина вяленая,268,15,22,0
протеиновый коктейль формула 1 капучино Herbalife,380,10,12,20
Чебурек с мясом 'Жаренки',294,9,14,32
Снежный краб в классическом соусе MARE,430,2,43,10
пирожок печенный с капустой Золотой колос,265,6,8,37
насыпной пирог с малиной,231,3,7,41
Рис с кукурузой и горошком,106,2,0.42,22
хлебцы цельнозерновые ржаные wasa fibre,333,13,5,46
Сок яблоко-белый виноград Сочный,50,0.2,0,12
Творожок Суперкид земляника Савушкин,96,6,4,10
кабачки с фаршем и рисом,87,3,4,9
шоколадный батончик брауни дуо Nuts,480,5,22,64
протеиновый коктейль маракуйя Гербалайф,92,10,2,10
Продукт кисломолочный клубника 2.5% Актимель,69,3,2,11
эль,41,0,0,3
Напиток слабоалкогольный 8% сильногазированый Вкус Джин Тоник Оболонь,78,0,0,8
чизбургер Де Люкс KFC,205,14,7,22
Еврейский салат,318,12,24,13
whey protein банановый мусс CMTech,418,75,8,11
Перловая крупа в пакетиках для варки Увелка,0,3,2,4
Сидр яблочный Мистер Лис,48,0,0,6
Сырки глазированные 15% сгущенное молоко вареное 2 в 1 Злагода,329,3,24,25
Конфеты 'Гусиные лапки' ф-ка 'РотФронт',437,2,8,87
Сыр Страчателла 48% ВкусВилл,276,10,26,0.6
Пирог осетинский со шпинатом и сыром 'Лента',230,7,18,11
хлеб ржаной бездрож псков,220,7,2,45
Сырок глазированный с ароматом ванили Богодухівський молзавод,403,8,28,30
рулет из мяса птицы копчено-вареный Европейский Агрокомбинат Заря,120,17,5,1
изолят протеина со вкусом Печенье викинг,351,85,1,0
Шампиньоны тушеные в сметане,93,3,9,4
морковный торт а ля старбакс,130,9,8,12
Кабачковая пицца ПП,80,4,2,9
Гречишный чай,303,18,2,54
Молоко 2.5% Премия,53,3,2,5
овсяное ванильное Ne moloko,60,1,3,6
Блины без сахара,181,4,5,26
Блины со сливочным маслом,332,4,15,29
Рулет бисквитный 'Красная Цена' с начинкой варёная сгущёнка,420,4,17,63
Напиток йогуртный Альпийские традиции с яблоком и грушей Alpenland,70,2,1,14
ленивые творожные вареники пп,128,13,5,7
Хлеб Дивеевский бездрожжевой ВкусВилл,195,7,0.5,40
Хлебцы хрустящие вафельные Пикантэ по-итальянски Хлебцы молодцы,376,11,3,76
Конфета Мир Желе,361,1,9,75
Хлебцы хрустящие рисовые Dr. Korner,300,6,1,67
молоко для детей Депи,60,3,3,5
блины с творогом и изюмом ермолино,230,7,4,42
ряженка 3.2% Домик в Деревне,58,3,3,4
Лаваш на гриле с мясом,180,20,5,12
Гречневая каша,355,13,3,69
Свекла маринованная,65,0.8,0.08,16
пицца барбекю домино с на тонком тесте,318,9,15,27
Брецель,228,7,2,46
флэш,50,0,0,12
Колбаса сырокопченая куриная Фиеста Ремит,410,25,34,1
Пиво белое золото Аливария,43,0,0,4
Творог сыр кисломолочный 5% Яготинское для детей,94,8,5,4
хлеб 'Майский' традиционный Минскхлебпром,220,6,0.5,47
паштет куриный печеночный Гродфуд,194,7,17,3
Ромовая баба ВкусВилл,270,3,5,53
гнезда с фаршем,162,10,7,11
свиные ребра на углях,228,11,19,4
Ленивые вареники с творогом пп,123,10,4,12
Печенье крекер Дукат Грона,450,9,15,70
шоколад молочный с альпийским молоком Ritter Sport,545,8,32,54
Печенье сдобное Золотая Симфония Кухмастер,504,6,29,55
гречка с морковью и луком (в мультиварке),117,4,2,20
Шницель куриный с хрустящей корочкой Троекурово,192,14,7,7
настойка клюквенная,150,0,0,12
Сырокопчёные колбаски Пиколини аджика Дымов,475,22,43,0
кофе с молоком 1.5 без сахара,45,3,2,5
тушеные помидоры с чесноком,79,2,3,13
мусака классическая,154,6,9,6
Пицарелла паста-филата полутвердая Тульчинка,299,23,23,2
Масло черного тмина,899,0.1,100,0.1
Батончик злаковый Nesquik Nestlé,409,7,14,62
Крабовые палочки замороженные Vici,110,6,3,16
торт Киевский Roshen Рошен,484,5,29,49
Горох нут,358,20,5,50
чизкейк творожный десерт с ванилью Б.Ю.Александров,347,8,22,32
латте на овсяном молоке,23,2,1,2
печенье бамбук Panda,405,10,14,69
Ветчина балерон Ганна,160,14,11,2
Салат с яйцом и зеленым луком,199,10,16,1
Урбеч из семян конопли Мералад,514,22,37,11
чипсы жареная курица Русская Картошка,502,4,30,55
Булгур из твердых сортов пшеницы Агро-Альянс,360,12,1,76
Капустняк с грудкой,69,12,0.5,4
Хлеб Хуторской с семечками Русский хлеб,270,9,8,39
сосиска троицкая,290,10,26,3
"Сыр твердый ""Лента"" сливочный 50%",377,24,30,0
